Name,W,L,Pct,Sets,Aces,Aces_PS,Assists,Assists_PS,Block Solos,Block Assists,Blocks_PS,Digs,Digs_PS,Kills,Errors,Total Attacks,Hitting_Pct,Kills,Kills_PS,Aces,Aces_PS,Digs,Digs_PS
Southeast Mo. St.,26,8,0.765,127,179,1.41,1566,12.33,73,355,1.97,2178,17.15,1697,640,4771,0.222,1697,13.36,179,1.41,2178,17.15
Southeastern La.,9,18,0.333,108,128,1.19,1196,11.07,48,352,2.07,1601,14.82,1282,553,3824,0.191,1282,11.87,128,1.19,1601,14.82
Southern California,15,15,0.5,117,166,1.42,1410,12.05,74,324,2.02,1634,13.97,1551,576,4012,0.243,1551,13.26,166,1.42,1634,13.97
Southern Ill.,5,26,0.161,115,163,1.42,1262,10.97,31,269,1.44,1665,14.48,1335,672,3999,0.166,1335,11.61,163,1.42,1665,14.48
Southern Miss.,11,17,0.393,108,148,1.37,1266,11.72,42,264,1.61,1695,15.69,1384,586,3868,0.206,1384,12.81,148,1.37,1695,15.69
Southern U.,8,15,0.348,86,114,1.33,873,10.15,47,167,1.52,1434,16.67,953,445,3258,0.156,953,11.08,114,1.33,1434,16.67
Southern Utah,6,22,0.214,104,143,1.38,948,9.12,58,374,2.36,1345,12.93,1049,572,3464,0.138,1049,10.09,143,1.38,1345,12.93
St. Francis Brooklyn,9,20,0.31,109,122,1.12,1179,10.82,48,298,1.81,1727,15.84,1273,591,3999,0.171,1273,11.68,122,1.12,1727,15.84
St. John's (NY),15,17,0.469,122,189,1.55,1509,12.37,40,507,2.41,1629,13.35,1609,723,4182,0.212,1609,13.19,189,1.55,1629,13.35
St. Thomas (MN),3,25,0.107,95,110,1.16,916,9.64,26,246,1.57,1224,12.88,965,527,3162,0.139,965,10.16,110,1.16,1224,12.88
Stanford,19,11,0.633,113,142,1.26,1481,13.11,41,491,2.54,1565,13.85,1590,494,3903,0.281,1590,14.07,142,1.26,1565,13.85
Stetson,13,16,0.448,107,114,1.07,1229,11.49,96,277,2.19,1770,16.54,1295,574,3861,0.187,1295,12.1,114,1.07,1770,16.54
Stony Brook,13,14,0.481,96,143,1.49,1130,11.77,28,258,1.64,1515,15.78,1228,488,3543,0.209,1228,12.79,143,1.49,1515,15.78
Syracuse,17,13,0.567,109,133,1.22,1351,12.39,81,376,2.47,1503,13.79,1477,506,3640,0.267,1477,13.55,133,1.22,1503,13.79
Tarleton St.,15,14,0.517,108,133,1.23,1190,11.02,60,359,2.22,1642,15.2,1328,467,3782,0.228,1328,12.3,133,1.23,1642,15.20
TCU,8,18,0.308,98,109,1.11,1107,11.3,32,391,2.32,1264,12.9,1191,595,3291,0.181,1191,12.15,109,1.11,1264,12.90
Temple,7,24,0.226,118,134,1.14,1297,10.99,48,352,1.9,1623,13.75,1395,642,4159,0.181,1395,11.82,134,1.14,1623,13.75
Tennessee,20,10,0.667,109,113,1.04,1412,12.95,64,529,3.01,1666,15.28,1542,503,3837,0.271,1542,14.15,113,1.04,1666,15.28
Tennessee St.,10,17,0.37,103,120,1.17,1201,11.66,42,370,2.2,1698,16.49,1314,610,3827,0.184,1314,12.76,120,1.17,1698,16.49
Tennessee Tech,16,14,0.533,114,151,1.32,1363,11.96,50,444,2.39,1572,13.79,1488,666,4013,0.205,1488,13.05,151,1.32,1572,13.79
Texas,27,2,0.931,99,218,2.2,1257,12.7,41,432,2.6,1255,12.68,1356,313,3044,0.343,1356,13.7,218,2.20,1255,12.68
Texas A&M,14,14,0.5,106,127,1.2,1272,12,39,321,1.88,1751,16.52,1375,616,3877,0.196,1375,12.97,127,1.20,1751,16.52
Texas Southern,7,24,0.226,108,148,1.37,981,9.08,43,138,1.04,1682,15.57,1088,605,3867,0.125,1088,10.07,148,1.37,1682,15.57
Texas St.,20,12,0.625,110,124,1.13,1415,12.86,49,367,2.11,1745,15.86,1514,563,3879,0.245,1514,13.76,124,1.13,1745,15.86
Texas Tech,17,13,0.567,116,125,1.08,1307,11.27,70,418,2.41,1701,14.66,1456,549,4024,0.225,1456,12.55,125,1.08,1701,14.66
The Citadel,14,12,0.538,98,155,1.58,1112,11.35,55,262,1.9,1592,16.24,1250,527,3562,0.203,1250,12.76,155,1.58,1592,16.24
Toledo,20,13,0.606,119,189,1.59,1479,12.43,82,411,2.42,1939,16.29,1592,684,4341,0.209,1592,13.38,189,1.59,1939,16.29
Towson,26,5,0.839,115,210,1.83,1377,11.97,43,522,2.64,1663,14.46,1495,503,3746,0.265,1495,13,210,1.83,1663,14.46
Troy,18,13,0.581,113,183,1.62,1332,11.79,54,296,1.79,1514,13.4,1431,696,3900,0.188,1431,12.66,183,1.62,1514,13.40
Tulane,18,14,0.563,121,163,1.35,1416,11.7,74,326,1.96,1693,13.99,1567,568,4194,0.238,1567,12.95,163,1.35,1693,13.99
Tulsa,14,16,0.467,117,130,1.11,1361,11.63,48,350,1.91,2075,17.74,1446,577,4460,0.195,1446,12.36,130,1.11,2075,17.74
UAB,11,14,0.44,90,136,1.51,1067,11.86,46,234,1.81,1226,13.62,1160,495,3186,0.209,1160,12.89,136,1.51,1226,13.62
UAlbany,14,15,0.483,111,155,1.4,1288,11.6,30,461,2.35,1522,13.71,1381,638,3839,0.194,1381,12.44,155,1.40,1522,13.71
UC Davis,11,20,0.355,114,167,1.46,1247,10.94,51,414,2.26,1505,13.2,1360,533,3781,0.219,1360,11.93,167,1.46,1505,13.20
